hw;repl;events;rate;calc10_S_m;calc10_S_std;calc10_R_m;calc10_R_std;calc2_S_m;calc2_S_std;calc2_R_m;calc2_R_std;calc5_S_m;calc5_S_std;calc5_R_m;calc5_R_std;calc7_S_m;calc7_S_std;calc7_R_m;calc7_R_std;join9_S_m;join9_S_std;join9_R_m;join9_R_std;minibatchassigner4_S_m;minibatchassigner4_S_std;minibatchassigner4_R_m;minibatchassigner4_R_std;nexmarkq311writer_S_m;nexmarkq311writer_S_std;nexmarkq311writer_R_m;nexmarkq311writer_R_std;sourcedatagen1_S_m;sourcedatagen1_S_std;sourcedatagen1_R_m;sourcedatagen1_R_std;watermarkassigner3_S_m;watermarkassigner3_S_std;watermarkassigner3_R_m;watermarkassigner3_R_std
ene-32;4;100000000;10000000;0.001800;0.658834;0.068464;0.923816;0.048579;0.907500;0.044176;0.918441;0.025380;0.914683;0.078781;0.907213;0.000496;0.857112;0.160748;0.828617;0.050260;0.921489;;;;;;;;;;;;;;;;;;
ene-32;6;100000000;10000000;0.000847;0.871976;0.051260;0.935458;0.034007;0.928112;0.036374;0.922855;0.018795;0.919887;0.086460;0.876015;0.000285;0.929164;0.170525;0.815007;0.037801;0.934496;;;;;;;;;;;;;;;;;;
ene-32;8;100000000;10000000;0.001487;0.882320;0.028915;0.965293;0.019000;0.965911;0.020943;0.959546;0.014064;0.951828;0.062075;0.896703;0.000381;0.967960;0.150831;0.836148;0.021036;0.967691;;;;;;;;;;;;;;;;;;
ene-32;10;100000000;10000000;0.002190;0.813160;0.026431;0.970854;0.010005;0.982969;0.013032;0.978868;0.006777;0.996424;0.013053;0.987458;0.000512;0.911889;0.110606;0.874957;0.010367;0.995729;;;;;;;;;;;;;;;;;;
ene-32;12;100000000;10000000;0.001955;0.797296;0.010541;0.989331;0.009545;0.985661;0.011287;0.981841;0.033939;0.923602;0.011400;0.983323;0.000415;0.956142;0.076957;0.908103;0.008046;0.995287;;;;;;;;;;;;;;;;;;
ene-32;14;100000000;10000000;0.001185;0.872273;0.022964;0.971193;0.010097;0.981886;0.008423;0.990070;0.043437;0.878079;0.022959;0.960732;0.000408;0.962468;0.041442;0.949936;0.020038;0.966219;;;;;;;;;;;;;;;;;;
ene-32;16;100000000;10000000;0.001647;0.803487;0.025527;0.963543;0.008684;0.986542;0.007738;0.991640;0.008144;0.992103;0.025444;0.956638;0.000589;0.880693;0.036133;0.955814;0.023295;0.958784;;;;;;;;;;;;;;;;;;
ene-32;24;100000000;10000000;0.001968;0.805644;0.006705;0.992310;0.008374;0.980494;0.010715;0.975224;0.034798;0.938078;0.004873;0.991076;0.001422;0.922985;0.058746;0.919108;0.004704;0.992913;;;;;;;;;;;;;;;;;;
ene-32;32;100000000;10000000;0.003168;0.662680;0.025188;0.956409;0.026247;0.928642;0.028946;0.922167;0.055969;0.795767;0.022067;0.955698;0.001935;0.837698;0.106903;0.849200;0.021647;0.951085;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
calc10_pearson_rate;calc2_pearson_rate;calc5_pearson_rate;calc7_pearson_rate;join9_pearson_rate;minibatchassigner4_pearson_rate;nexmarkq311writer_pearson_rate;sourcedatagen1_pearson_rate;watermarkassigner3_pearson_rate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.929828;0.998342;0.996510;0.994351;0.980996;0.998000;-0.524810;0.996741;0.998105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
calc10_pearson_par;calc2_pearson_par;calc5_pearson_par;calc7_pearson_par;join9_pearson_par;minibatchassigner4_pearson_par;nexmarkq311writer_pearson_par;sourcedatagen1_pearson_par;watermarkassigner3_pearson_par;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.954545;0.872727;0.936364;0.936364;0.881818;0.954545;0.945455;0.918182;0.581818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
